2023-02-01 23:05:34.174 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.174 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.174 [main] INFO  pk.Game - Initial roll: [PARROT, DIAMOND, MONKEY, SKULL, SKULL, GOLD, SKULL, PARROT]
2023-02-01 23:05:34.174 [main] INFO  pk.Game - Player 1 round score of round 7: 0
2023-02-01 23:05:34.174 [main] INFO  pk.Game - Player 1 total score: 1700
2023-02-01 23:05:34.174 [main] INFO  pk.Game -  
2023-02-01 23:05:34.174 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.174 [main] INFO  pk.Game - Player 2 card: NOP
2023-02-01 23:05:34.175 [main] INFO  pk.Game - Initial roll: [DIAMOND, DIAMOND, MONKEY, PARROT, SABER, GOLD, SABER, SKULL]
2023-02-01 23:05:34.175 [main] INFO  pk.Game - After reroll: [PARROT, GOLD, GOLD, SKULL, GOLD, DIAMOND, GOLD, SKULL]
2023-02-01 23:05:34.175 [main] INFO  pk.Game - Player 2 round score of round 7: 700
2023-02-01 23:05:34.175 [main] INFO  pk.Game - Player 2 total score: 2400
2023-02-01 23:05:34.175 [main] INFO  pk.Game - ------------------------------ round 8 ------------------------------
2023-02-01 23:05:34.175 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.175 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.175 [main] INFO  pk.Game - Initial roll: [DIAMOND, MONKEY, SABER, GOLD, GOLD, GOLD, PARROT, MONKEY]
2023-02-01 23:05:34.175 [main] INFO  pk.Game - The number of skulls is: 0
2023-02-01 23:05:34.175 [main] INFO  pk.Game - player decide to Hold: [MONKEY, GOLD, GOLD, GOLD, MONKEY]
2023-02-01 23:05:34.175 [main] INFO  pk.Game - player decide to Reroll: [DIAMOND, SABER, PARROT]
2023-02-01 23:05:34.176 [main] INFO  pk.Game - After reroll: [MONKEY, GOLD, GOLD, GOLD, MONKEY, SABER, PARROT, GOLD]
2023-02-01 23:05:34.176 [main] INFO  pk.Game - Player 1 round score of round 8: 600
2023-02-01 23:05:34.176 [main] INFO  pk.Game - Player 1 total score: 2300
2023-02-01 23:05:34.176 [main] INFO  pk.Game -  
2023-02-01 23:05:34.176 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.176 [main] INFO  pk.Game - Player 2 card: NOP
2023-02-01 23:05:34.176 [main] INFO  pk.Game - Initial roll: [DIAMOND, GOLD, SKULL, SKULL, SKULL, SKULL, DIAMOND, GOLD]
2023-02-01 23:05:34.176 [main] INFO  pk.Game - Player 2 round score of round 8: 0
2023-02-01 23:05:34.176 [main] INFO  pk.Game - Player 2 total score: 2400
